order_id,order_date,outlet_id,outlet_location_type,outlet_size,outlet_type,outlet_establishment_year,item_id,item_type,item_fat_content,item_weight_kg,item_visibility,item_mrp,units_sold,sales,rating,customer_type
BLK-ORD-03437,2024-01-08,BLK-OUT-006,Tier 2,Small,Grocery Store,2020,BLK-ITM-0376,Canned,Regular,0.47,0.1962,46.3,2,91.79,3.9,New
BLK-ORD-04663,2024-01-08,BLK-OUT-006,Tier 2,Small,Grocery Store,2020,BLK-ITM-0884,Breakfast,Low Fat,0.35,0.0402,75.69,1,71.98,3.5,Member
BLK-ORD-06091,2024-01-08,BLK-OUT-006,Tier 2,Small,Grocery Store,2020,BLK-ITM-0304,Household,Low Fat,4.6,0.1166,333.24,3,981.28,4.5,New
BLK-ORD-06129,2024-01-08,BLK-OUT-001,Tier 1,High,Supermarket Type1,2011,BLK-ITM-0030,Seafood,Low Fat,1.73,0.0374,353.3,2,643.48,3.7,Returning
BLK-ORD-07018,2024-01-08,BLK-OUT-005,Tier 2,Medium,Supermarket Type2,2016,BLK-ITM-0006,Fruits and Vegetables,Low Fat,3.31,0.0743,48.21,1,45.57,3.7,Returning
BLK-ORD-01026,2024-01-09,BLK-OUT-009,Tier 3,Medium,Supermarket Type2,2017,BLK-ITM-0319,Fruits and Vegetables,Low Fat,1.74,0.0272,96.8,3,282.23,4.1,Returning
BLK-ORD-02876,2024-01-09,BLK-OUT-004,Tier 2,High,Supermarket Type1,2012,BLK-ITM-0110,Fruits and Vegetables,Low Fat,1.98,0.0732,41.95,2,75.82,4.2,New
BLK-ORD-03352,2024-01-09,BLK-OUT-006,Tier 2,Small,Grocery Store,2020,BLK-ITM-0634,Fruits and Vegetables,Low Fat,1.62,0.0335,140.17,1,130.13,3.7,Returning
BLK-ORD-03818,2024-01-09,BLK-OUT-004,Tier 2,High,Supermarket Type1,2012,BLK-ITM-0210,Canned,Low Fat,0.62,0.238,133.44,1,128.53,5.0,Returning
BLK-ORD-04218,2024-01-09,BLK-OUT-004,Tier 2,High,Supermarket Type1,2012,BLK-ITM-0613,Baking Goods,Low Fat,0.17,0.1391,102.54,3,287.85,4.4,Returning
BLK-ORD-04480,2024-01-09,BLK-OUT-009,Tier 3,Medium,Supermarket Type2,2017,BLK-ITM-0698,Health and Hygiene,Low Fat,1.31,0.1892,430.92,2,751.90,3.9,Member
BLK-ORD-07184,2024-01-09,BLK-OUT-002,Tier 1,Medium,Supermarket Type2,2015,BLK-ITM-0335,Canned,Regular,0.36,0.1347,128.05,1,109.74,3.8,Member
BLK-ORD-00725,2024-01-10,BLK-OUT-006,Tier 2,Small,Grocery Store,2020,BLK-ITM-0854,Canned,Regular,0.99,0.0665,131.81,5,625.15,3.3,Member
BLK-ORD-01133,2024-01-10,BLK-OUT-011,Tier 3,Small,Supermarket Type1,2022,BLK-ITM-0462,Health and Hygiene,Regular,0.23,0.2243,185.21,3,503.20,3.9,Member
BLK-ORD-01209,2024-01-10,BLK-OUT-006,Tier 2,Small,Grocery Store,2020,BLK-ITM-0868,Canned,Regular,1.06,0.0148,55.42,2,98.36,4.4,Returning
BLK-ORD-01427,2024-01-10,BLK-OUT-007,Tier 2,Small,Supermarket Type1,2019,BLK-ITM-0264,Fruits and Vegetables,Low Fat,3.89,0.1054,140.26,2,262.34,3.8,Member
BLK-ORD-01673,2024-01-10,BLK-OUT-009,Tier 3,Medium,Supermarket Type2,2017,BLK-ITM-0323,Frozen Foods,Regular,1.71,0.0841,223.93,1,203.90,5.0,Returning
BLK-ORD-03010,2024-01-10,BLK-OUT-006,Tier 2,Small,Grocery Store,2020,BLK-ITM-0753,Snack Foods,Low Fat,0.96,0.137,43.34,1,39.77,4.3,Member
BLK-ORD-03119,2024-01-10,BLK-OUT-009,Tier 3,Medium,Supermarket Type2,2017,BLK-ITM-0058,Canned,Regular,0.42,0.1262,86.85,1,74.39,3.4,Member
BLK-ORD-03355,2024-01-10,BLK-OUT-001,Tier 1,High,Supermarket Type1,2011,BLK-ITM-0449,Soft Drinks,Regular,0.69,0.0259,44.42,1,41.65,5.0,New
BLK-ORD-03767,2024-01-10,BLK-OUT-005,Tier 2,Medium,Supermarket Type2,2016,BLK-ITM-0782,Fruits and Vegetables,Low Fat,2.58,0.1096,54.76,1,49.61,3.7,Member
BLK-ORD-03895,2024-01-10,BLK-OUT-011,Tier 3,Small,Supermarket Type1,2022,BLK-ITM-0328,Meat,Low Fat,0.65,0.0664,189.63,2,327.86,4.4,Member
BLK-ORD-04014,2024-01-10,BLK-OUT-005,Tier 2,Medium,Supermarket Type2,2016,BLK-ITM-0080,Snack Foods,Regular,0.88,0.0782,66.71,3,184.62,3.8,Returning
BLK-ORD-04873,2024-01-10,BLK-OUT-010,Tier 3,Small,Grocery Store,2021,BLK-ITM-0918,Frozen Foods,Regular,0.92,0.0628,370.0,1,334.24,4.4,New
BLK-ORD-07795,2024-01-10,BLK-OUT-010,Tier 3,Small,Grocery Store,2021,BLK-ITM-0469,Breads,Low Fat,0.15,0.033,48.74,1,44.67,5.0,Member
BLK-ORD-08022,2024-01-10,BLK-OUT-005,Tier 2,Medium,Supermarket Type2,2016,BLK-ITM-0334,Household,Low Fat,3.51,0.0045,402.52,1,367.12,4.2,New
BLK-ORD-00273,2024-01-11,BLK-OUT-009,Tier 3,Medium,Supermarket Type2,2017,BLK-ITM-0138,Seafood,Low Fat,1.27,0.3,423.42,2,749.60,4.1,Returning
BLK-ORD-00488,2024-01-11,BLK-OUT-008,Tier 3,High,Supermarket Type3,2010,BLK-ITM-0542,Snack Foods,Low Fat,0.88,0.2724,64.69,1,59.00,4.7,Returning
BLK-ORD-00523,2024-01-11,BLK-OUT-005,Tier 2,Medium,Supermarket Type2,2016,BLK-ITM-0491,Household,Low Fat,1.61,0.1069,448.04,2,858.66,4.8,New
BLK-ORD-00868,2024-01-11,BLK-OUT-005,Tier 2,Medium,Supermarket Type2,2016,BLK-ITM-0089,Frozen Foods,Regular,0.39,0.1105,96.82,1,87.90,4.7,Returning
BLK-ORD-00919,2024-01-11,BLK-OUT-001,Tier 1,High,Supermarket Type1,2011,BLK-ITM-0802,Breads,Low Fat,0.35,0.1147,37.6,4,138.96,4.1,New
BLK-ORD-01792,2024-01-11,BLK-OUT-003,Tier 1,Medium,Grocery Store,2018,BLK-ITM-0291,Snack Foods,Regular,0.76,0.1238,235.97,1,205.22,4.5,Member
BLK-ORD-02551,2024-01-11,BLK-OUT-006,Tier 2,Small,Grocery Store,2020,BLK-ITM-0690,Canned,Low Fat,0.39,0.1017,141.49,1,132.36,5.0,Returning
BLK-ORD-02747,2024-01-11,BLK-OUT-006,Tier 2,Small,Grocery Store,2020,BLK-ITM-0472,Household,Low Fat,1.04,0.1745,85.59,2,152.44,5.0,Member
BLK-ORD-02979,2024-01-11,BLK-OUT-009,Tier 3,Medium,Supermarket Type2,2017,BLK-ITM-0126,Frozen Foods,Regular,1.45,0.2077,265.61,1,253.27,5.0,New
BLK-ORD-04784,2024-01-11,BLK-OUT-008,Tier 3,High,Supermarket Type3,2010,BLK-ITM-0425,Household,Low Fat,2.35,0.0501,293.7,1,260.87,4.7,Member
BLK-ORD-04934,2024-01-11,BLK-OUT-001,Tier 1,High,Supermarket Type1,2011,BLK-ITM-0817,Canned,Low Fat,0.85,0.154,78.89,2,150.70,4.4,Member
BLK-ORD-05521,2024-01-11,BLK-OUT-009,Tier 3,Medium,Supermarket Type2,2017,BLK-ITM-0543,Soft Drinks,Low Fat,1.82,0.1515,73.51,1,72.02,4.3,New
BLK-ORD-07362,2024-01-11,BLK-OUT-001,Tier 1,High,Supermarket Type1,2011,BLK-ITM-0098,Household,Low Fat,4.75,0.051,506.09,1,461.21,3.1,New
BLK-ORD-07687,2024-01-11,BLK-OUT-010,Tier 3,Small,Grocery Store,2021,BLK-ITM-0916,Meat,Low Fat,2.08,0.114,189.18,1,169.13,3.5,Returning
BLK-ORD-08074,2024-01-11,BLK-OUT-004,Tier 2,High,Supermarket Type1,2012,BLK-ITM-0560,Breakfast,Low Fat,0.48,0.0996,116.83,3,320.88,4.4,Returning
BLK-ORD-08100,2024-01-11,BLK-OUT-011,Tier 3,Small,Supermarket Type1,2022,BLK-ITM-0467,Canned,Regular,0.11,0.1121,109.5,2,194.56,4.5,Returning
BLK-ORD-00496,2024-01-12,BLK-OUT-001,Tier 1,High,Supermarket Type1,2011,BLK-ITM-0876,Frozen Foods,Regular,0.54,0.0798,110.31,1,98.97,4.4,Returning
BLK-ORD-02509,2024-01-12,BLK-OUT-002,Tier 1,Medium,Supermarket Type2,2015,BLK-ITM-0713,Baking Goods,Regular,0.24,0.1211,163.75,1,154.24,4.9,New
BLK-ORD-02711,2024-01-12,BLK-OUT-009,Tier 3,Medium,Supermarket Type2,2017,BLK-ITM-0195,Fruits and Vegetables,Low Fat,0.81,0.0833,173.31,2,329.23,3.5,Returning
BLK-ORD-03743,2024-01-12,BLK-OUT-007,Tier 2,Small,Supermarket Type1,2019,BLK-ITM-0420,Health and Hygiene,Low Fat,0.72,0.1115,74.93,1,74.10,3.9,New
BLK-ORD-04030,2024-01-12,BLK-OUT-009,Tier 3,Medium,Supermarket Type2,2017,BLK-ITM-0391,Soft Drinks,Low Fat,1.64,0.1192,71.87,2,135.17,4.4,Returning
BLK-ORD-05360,2024-01-12,BLK-OUT-008,Tier 3,High,Supermarket Type3,2010,BLK-ITM-0357,Frozen Foods,Low Fat,1.89,0.3,243.41,2,451.97,4.7,Member
BLK-ORD-05503,2024-01-12,BLK-OUT-003,Tier 1,Medium,Grocery Store,2018,BLK-ITM-0729,Canned,Regular,0.45,0.1046,153.55,2,294.80,4.5,Returning
BLK-ORD-05635,2024-01-12,BLK-OUT-002,Tier 1,Medium,Supermarket Type2,2015,BLK-ITM-0160,Snack Foods,Regular,0.94,0.0437,102.4,2,192.72,4.6,Member
BLK-ORD-06372,2024-01-12,BLK-OUT-005,Tier 2,Medium,Supermarket Type2,2016,BLK-ITM-0258,Snack Foods,Regular,0.73,0.0897,216.26,1,196.75,4.4,New
BLK-ORD-07625,2024-01-12,BLK-OUT-009,Tier 3,Medium,Supermarket Type2,2017,BLK-ITM-0259,Dairy,Low Fat,1.99,0.1361,77.39,1,74.27,4.6,Returning
BLK-ORD-00093,2024-01-13,BLK-OUT-001,Tier 1,High,Supermarket Type1,2011,BLK-ITM-0396,Baking Goods,Regular,0.79,0.0089,68.13,2,133.52,4.3,Member
BLK-ORD-02385,2024-01-13,BLK-OUT-004,Tier 2,High,Supermarket Type1,2012,BLK-ITM-0484,Health and Hygiene,Low Fat,0.1,0.124,215.09,1,201.80,3.9,Returning
BLK-ORD-03193,2024-01-13,BLK-OUT-007,Tier 2,Small,Supermarket Type1,2019,BLK-ITM-0672,Baking Goods,Regular,1.49,0.0904,65.75,1,60.88,4.7,Returning
BLK-ORD-03653,2024-01-13,BLK-OUT-010,Tier 3,Small,Grocery Store,2021,BLK-ITM-0454,Frozen Foods,Regular,1.38,0.1872,155.68,1,143.70,4.2,Member
BLK-ORD-03711,2024-01-13,BLK-OUT-004,Tier 2,High,Supermarket Type1,2012,BLK-ITM-0284,Fruits and Vegetables,Low Fat,2.97,0.2136,43.81,1,42.41,4.5,Member
BLK-ORD-04699,2024-01-13,BLK-OUT-011,Tier 3,Small,Supermarket Type1,2022,BLK-ITM-0302,Snack Foods,Regular,0.87,0.2251,24.28,1,21.90,4.3,Member
BLK-ORD-05211,2024-01-13,BLK-OUT-007,Tier 2,Small,Supermarket Type1,2019,BLK-ITM-0210,Canned,Low Fat,0.62,0.238,133.44,1,118.79,3.8,Member
BLK-ORD-05338,2024-01-13,BLK-OUT-005,Tier 2,Medium,Supermarket Type2,2016,BLK-ITM-0324,Household,Low Fat,2.91,0.0843,76.33,3,228.91,3.9,New
